soft_name,milvus_count,neo4j_count,difference,is_consistent,node_type
Arachni_arachni,4179,4179,0,一致,CodeSoftware
keepwn_Altman,1481,1481,0,一致,CodeSoftware
lanjelot_patator,4,4,0,一致,CodeSoftware
m8r0wn_nullinux,1,1,0,一致,CodeSoftware
mrexodia_haxxmap,35,35,0,一致,CodeSoftware
mudongliang_LinuxFlaw,583,583,0,一致,CodeSoftware
n0tr00t_Sreg,39,39,0,一致,CodeSoftware
neoneggplant_EggShell,242,242,0,一致,CodeSoftware
nmap_ncrack,3039,3039,0,一致,CodeSoftware
pasahitz_regsvr32,3,3,0,一致,CodeSoftware
quentinhardy_odat,6,6,0,一致,CodeSoftware
quickbreach_smbetray,1,1,0,一致,CodeSoftware
rebeyond_memShell,100,100,0,一致,CodeSoftware
redcanaryco_atomic-red-team,801,801,0,一致,CodeSoftware
ring04h_wydomain,1,1,0,一致,CodeSoftware
riusksk_FlashScanner,12,12,0,一致,CodeSoftware
sam-b_CVE-2014-4113,21,21,0,一致,CodeSoftware
scipag_vulscan,3,3,0,一致,CodeSoftware
scu-igroup_ssh-scanner,1,1,0,一致,CodeSoftware
secforce_sparta,15,15,0,一致,CodeSoftware
sevagas_macro_pack,20,20,0,一致,CodeSoftware
stanleyb0y_sushell,13,13,0,一致,CodeSoftware
tiagorlampert_CHAOS,971,971,0,一致,CodeSoftware
tokyoneon_Armor,7,7,0,一致,CodeSoftware
toniblyx_my-arsenal-of-aws-security-tools,2,2,0,一致,CodeSoftware
wpscanteam_wpscan,1897,1897,0,一致,CodeSoftware
ytisf_PyExfil,380,380,0,一致,CodeSoftware
zt2_sqli-hunter,8,8,0,一致,CodeSoftware
Moham3dRiahi_XAttacker,62,62,0,一致,CodeSoftware
Mr-Un1k0d3r_DKMC,2,2,0,一致,CodeSoftware
MrSqar-Ye_wpCrack,7,7,0,一致,CodeSoftware
Ne0nd0g_merlin,1364,1364,0,一致,CodeSoftware
Nhoya_gOSINT,144,144,0,一致,CodeSoftware
